"esm.IDnum.w1","esm.fileDate.w1","esm.PRO03.w1","esm.PRO02.w1"
61,20121112,3,3
61,20121112,4,4
61,20121113,1,1
61,20121113,2,2
61,20121113,3,3
61,20121113,4,4
61,20121114,1,1
61,20121114,2,2
61,20121114,4,4
61,20121115,1,1
61,20121115,2,2
61,20121116,2,2
61,20121116,3,3
61,20121116,4,4
61,20121117,3,3
61,20121117,4,4
61,20121118,2,2
61,20121119,1,1
61,20121119,3,3
61,20121119,4,4
61,20121120,1,1
61,20121120,2,2
61,20121120,3,3
62,20121113,1,6
62,20121113,4,4
62,20121114,1,1
62,20121114,2,2
62,20121114,3,3
62,20121114,4,4
62,20121115,3,3
62,20121116,2,2
62,20121116,3,3
62,20121116,4,4
62,20121117,1,1
62,20121117,2,2
62,20121117,4,4
62,20121118,1,1
62,20121118,2,2
62,20121118,3,3
62,20121119,2,2
62,20121119,3,3
62,20121119,4,4
62,20121120,1,1
62,20121120,2,2
62,20121120,4,4
62,20121124,1,1
62,20121124,2,2
62,20121125,1,1
62,20121125,2,2
62,20121126,2,2
64,20121128,1,6
64,20121128,2,2
64,20121128,3,3
64,20121128,4,4
64,20121129,1,1
64,20121129,2,2
64,20121129,3,3
64,20121129,4,4
64,20121130,1,1
64,20121130,4,4
64,20121201,1,1
64,20121201,2,2
64,20121201,4,4
64,20121202,2,2
64,20121202,3,3
64,20121202,4,4
64,20121203,2,2
64,20121203,3,3
64,20121203,4,4
64,20121204,2,2
64,20121204,4,4
64,20121205,1,1
64,20121205,2,2
64,20121205,4,4
64,20121206,1,1
